Date,Fund
01-01-2008,Tata_Dividend_Yield
01-02-2008,Taurus_Starshare
03-03-2008,HDFC_Growth_Fund
01-04-2008,HDFC_Growth_Fund
02-05-2008,HDFC_Growth_Fund
02-06-2008,Franklin_India_Growth_Fund
01-07-2008,Franklin_India_Growth_Fund
01-08-2008,Franklin_India_Growth_Fund
01-09-2008,Franklin_India_Growth_Fund
01-10-2008,HDFC_Growth_Fund
03-11-2008,Tata_Dividend_Yield
01-12-2008,Birla_India_GenNext_Fund
01-01-2009,HDFC_Equity
02-02-2009,Tata_Dividend_Yield
02-03-2009,Franklin_India_PrimaPlus
01-04-2009,HDFC_Equity
04-05-2009,Franklin_India_FlexiCap
01-06-2009,HDFC_Equity
01-07-2009,Reliance_Regular_Savings_Equity
03-08-2009,Franklin_India_FlexiCap
01-09-2009,Franklin_India_FlexiCap
01-10-2009,Franklin_India_Growth_Fund
03-11-2009,HDFC_Equity
01-12-2009,HDFC_Equity
04-01-2010,ICICIPru_Dynamic_Plan
01-02-2010,Reliance_Equity_Opp_Fund
02-03-2010,Reliance_Equity_Opp_Fund
01-04-2010,HDFC_Capital_Builder_Fund
03-05-2010,Reliance_Equity_Opp_Fund
01-06-2010,Birla_Dividend_Yield_Plus
01-07-2010,ICICIPru_Dynamic_Plan
02-08-2010,HDFC_Equity
01-09-2010,HDFC_Equity
01-10-2010,HDFC_Equity
01-11-2010,HDFC_Equity
01-12-2010,HDFC_Equity
03-01-2011,HDFC_Growth_Fund
01-02-2011,Reliance_Equity_Opp_Fund
01-03-2011,ICICIPru_Dynamic_Plan
01-04-2011,Birla_Dividend_Yield_Plus
02-05-2011,HDFC_Growth_Fund
01-06-2011,Tata_Dividend_Yield
01-07-2011,Reliance_Equity_Opp_Fund
01-08-2011,Reliance_Equity_Opp_Fund
02-09-2011,HSBC_India_Opp_Fund
03-10-2011,Tata_Ethical_Fund
01-11-2011,Franklin_India_PrimaPlus
01-12-2011,Franklin_India_PrimaPlus
02-01-2012,Tata_Dividend_Yield
01-02-2012,Reliance_Equity_Opp_Fund
01-03-2012,Reliance_Equity_Opp_Fund
02-04-2012,Reliance_Equity_Opp_Fund
02-05-2012,Tata_Dividend_Yield
01-06-2012,UTI_Service_Industries
02-07-2012,Tata_Dividend_Yield
01-08-2012,Principal_Growth_Fund
03-09-2012,Principal_Growth_Fund
01-10-2012,Principal_Growth_Fund
01-11-2012,Principal_Growth_Fund
03-12-2012,Principal_Growth_Fund
01-01-2013,Principal_Growth_Fund
01-02-2013,Principal_Growth_Fund
01-03-2013,ICICIPru_Export_And_Services
01-04-2013,Reliance_Equity_Opp_Fund
02-05-2013,Tata_Ethical_Fund
03-06-2013,Tata_Ethical_Fund
01-07-2013,Tata_Ethical_Fund
01-08-2013,Birla_India_GenNext_Fund
02-09-2013,UTI_Service_Industries
01-10-2013,Tata_Ethical_Fund
01-11-2013,Tata_Ethical_Fund
02-12-2013,ICICIPru_Dynamic_Plan
